Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
14233,S309PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12269
14234,S309AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12269
14235,S309AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12269
14236,S309BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12269
14237,S309MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12269
14238,S309PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12269
14239,S309RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12269
14240,S309VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12269
14241,S316PA,Led Amarillo - Pasta Amarilla ,true,instock,no,141,product-variant,13054
14242,S316AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,13054
14243,S316AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,13054
14244,S316BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,13054
14245,S316MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,13054
14246,S316PR,Led Rojo - Pasta Roja ,true,instock,no,46,product-variant,13054
14247,S316RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,13054
14248,S316VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,13054
14249,S317PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,13068
14250,S317AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,13068
14251,S317AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,13068
14252,S317BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,13068
14253,S317MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,13068
14254,S317PR,Led Rojo - Pasta Roja ,true,instock,no,100,product-variant,13068
14255,S317RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,13068
14256,S317VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,13068
14257,S318PA,Led Amarillo - Pasta Amarilla ,true,instock,no,133,product-variant,13084
14258,S318AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,13084
14259,S318AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,13084
14260,S318BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,13084
14261,S318MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,13084
14262,S318PR,Led Rojo - Pasta Roja ,true,instock,no,100,product-variant,13084
14263,S318RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,13084
14264,S318VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,13084
14265,S319PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,13098
14266,S319AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,13098
14267,S319AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,13098
14268,S319BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,13098
14269,S319MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,13098
14270,S319PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,13098
14271,S319RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,13098
14272,S319VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,13098
14274,S407PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12225
14275,S407AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12225
14276,S407AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12225
14277,S407BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12225
14278,S407MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12225
14279,S407PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12225
14280,S407RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12225
14281,S407VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12225
